    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 2p           1 radial matrix data

        binding energy =  755.851 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
      12.6500    0.29055E-01      2.5238    0.71344E-02     -0.5990
      12.7000    0.28973E-01      2.5214    0.71140E-02     -0.6082
      12.7500    0.28891E-01      2.5191    0.70938E-02     -0.6173
      12.8000    0.28808E-01      2.5169    0.70739E-02     -0.6263
      12.8500    0.28725E-01      2.5147    0.70541E-02     -0.6353
      12.9000    0.28642E-01      2.5127    0.70345E-02     -0.6442
      12.9500    0.28558E-01      2.5107    0.70151E-02     -0.6530
      13.0000    0.28473E-01      2.5088    0.69958E-02     -0.6618
      13.0500    0.28388E-01      2.5070    0.69767E-02     -0.6705
      13.1000    0.28301E-01      2.5053    0.69577E-02     -0.6791
      13.1500    0.28214E-01      2.5036    0.69389E-02     -0.6876
      13.2000    0.28125E-01      2.5021    0.69201E-02     -0.6961
      13.2500    0.28035E-01      2.5006    0.69015E-02     -0.7046
      13.3000    0.27944E-01      2.4991    0.68829E-02     -0.7129
      13.3500    0.27852E-01      2.4978    0.68645E-02     -0.7212
      13.4000    0.27758E-01      2.4965    0.68460E-02     -0.7294
      13.4500    0.27663E-01      2.4952    0.68277E-02     -0.7375
      13.5000    0.27567E-01      2.4940    0.68094E-02     -0.7456
      13.5500    0.27469E-01      2.4929    0.67911E-02     -0.7535
      13.6000    0.27369E-01      2.4919    0.67728E-02     -0.7615
      13.6500    0.27267E-01      2.4908    0.67546E-02     -0.7693
      13.7000    0.27164E-01      2.4899    0.67363E-02     -0.7771
      13.7500    0.27060E-01      2.4890    0.67180E-02     -0.7848
      13.8000    0.26953E-01      2.4881    0.66997E-02     -0.7924
      13.8500    0.26845E-01      2.4872    0.66813E-02     -0.7999
      13.9000    0.26735E-01      2.4864    0.66629E-02     -0.8074
      13.9500    0.26624E-01      2.4856    0.66445E-02     -0.8148
      14.0000    0.26510E-01      2.4849    0.66259E-02     -0.8222
      14.0500    0.26395E-01      2.4841    0.66073E-02     -0.8294
      14.1000    0.26278E-01      2.4834    0.65886E-02     -0.8366
      14.1500    0.26160E-01      2.4827    0.65698E-02     -0.8438
      14.2000    0.26040E-01      2.4820    0.65508E-02     -0.8508
      14.2500    0.25918E-01      2.4813    0.65318E-02     -0.8578
      14.3000    0.25795E-01      2.4806    0.65126E-02     -0.8648
      14.3500    0.25670E-01      2.4799    0.64932E-02     -0.8716
      14.4000    0.25543E-01      2.4793    0.64737E-02     -0.8784
      14.4500    0.25416E-01      2.4786    0.64541E-02     -0.8852
      14.5000    0.25286E-01      2.4778    0.64343E-02     -0.8919
      14.5500    0.25156E-01      2.4771    0.64143E-02     -0.8985
      14.6000    0.25024E-01      2.4764    0.63941E-02     -0.9051
      14.6500    0.24891E-01      2.4756    0.63737E-02     -0.9116
      14.7000    0.24757E-01      2.4748    0.63532E-02     -0.9180
      14.7500    0.24622E-01      2.4739    0.63325E-02     -0.9245
      14.8000    0.24486E-01      2.4731    0.63115E-02     -0.9308
      14.8500    0.24349E-01      2.4722    0.62904E-02     -0.9371
      14.9000    0.24211E-01      2.4713    0.62690E-02     -0.9434
      14.9500    0.24073E-01      2.4703    0.62474E-02     -0.9496
      15.0000    0.23934E-01      2.4693    0.62256E-02     -0.9557
      15.0500    0.23795E-01      2.4682    0.62036E-02     -0.9619
      15.1000    0.23655E-01      2.4671    0.61814E-02     -0.9680
      15.1500    0.23514E-01      2.4659    0.61590E-02     -0.9740
      15.2000    0.23374E-01      2.4647    0.61363E-02     -0.9800
