    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ag              Silver phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)  p(l=18)  p(l=19)
        20              lnum
    8.0500  -3.0291   1.2927  -1.0046   2.8674   1.4429   0.8437   0.5445   0.3670   0.2919   0.2100   0.1115   0.0434   0.0132   0.0033   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000
    8.1000  -3.0454   1.2794  -1.0116   2.8703   1.4525   0.8476   0.5508   0.3692   0.2930   0.2144   0.1167   0.0465   0.0144   0.0036   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000
    8.1500  -3.0618   1.2660  -1.0186   2.8734   1.4620   0.8515   0.5570   0.3715   0.2940   0.2187   0.1219   0.0497   0.0157   0.0040   0.0009   0.0002   0.0000   0.0000   0.0000   0.0000
    8.2000  -3.0782   1.2525  -1.0257   2.8766   1.4713   0.8553   0.5630   0.3741   0.2948   0.2226   0.1271   0.0530   0.0171   0.0045   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000
    8.2500  -3.0946   1.2389  -1.0328   2.8798   1.4803   0.8591   0.5689   0.3769   0.2955   0.2262   0.1323   0.0565   0.0185   0.0049   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000
    8.3000  -3.1111   1.2252  -1.0401   2.8831   1.4891   0.8630   0.5746   0.3800   0.2961   0.2296   0.1375   0.0600   0.0201   0.0054   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000
    8.3500  -3.1276   1.2115  -1.0474   2.8864   1.4976   0.8669   0.5801   0.3833   0.2967   0.2327   0.1426   0.0637   0.0218   0.0060   0.0014   0.0003   0.0000   0.0000   0.0000   0.0000
    8.4000   3.1391   1.1976  -1.0548   2.8897   1.5057   0.8709   0.5853   0.3868   0.2972   0.2356   0.1476   0.0675   0.0235   0.0066   0.0015   0.0003   0.0000   0.0000   0.0000   0.0000
    8.4500   3.1226   1.1837  -1.0624   2.8929   1.5135   0.8751   0.5904   0.3905   0.2978   0.2382   0.1525   0.0714   0.0254   0.0072   0.0017   0.0003   0.0001   0.0000   0.0000   0.0000
    8.5000   3.1061   1.1697  -1.0701   2.8960   1.5210   0.8794   0.5951   0.3945   0.2983   0.2406   0.1574   0.0754   0.0274   0.0079   0.0019   0.0004   0.0001   0.0000   0.0000   0.0000
    8.5500   3.0897   1.1557  -1.0780   2.8990   1.5281   0.8838   0.5997   0.3986   0.2989   0.2427   0.1621   0.0795   0.0295   0.0087   0.0021   0.0004   0.0001   0.0000   0.0000   0.0000
    8.6000   3.0733   1.1416  -1.0860   2.9018   1.5349   0.8885   0.6039   0.4029   0.2996   0.2446   0.1667   0.0837   0.0317   0.0095   0.0024   0.0005   0.0001   0.0000   0.0000   0.0000
    8.6500   3.0571   1.1276  -1.0941   2.9044   1.5413   0.8933   0.6080   0.4074   0.3003   0.2463   0.1712   0.0880   0.0340   0.0104   0.0026   0.0006   0.0001   0.0000   0.0000   0.0000
