   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Cobalto
 calculated by Yufeng Chen (LBNL) on Aug  6, 2026

   initial angular momentum (li) = 1   msorder=  1   raorder= 0
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   0.0,   3.0 and   4.09 angstrom
   cluster size=   4 atoms and spacings=  0.00 angstrom
   inner potential=  0.0 V  debye and sample temperature=   1,   0 K
   number of valence electrons=   9     bandgap energy=   0.00 eV
   density of bulk=   8.90 g/cm3     molecular weight=  58.93 amu
   effective weight=  107.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0000

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
  132.0    9.7910e-04    9.7555e-04    3.6397e-03    2.9775e-03
  135.0    9.7427e-04    9.7555e-04   -1.3196e-03   -1.3795e-02
  138.0    9.7565e-04    9.7555e-04    9.4175e-05   -3.6654e-02
  141.0    9.7384e-04    9.7555e-04   -1.7599e-03   -4.3589e-02
  144.0    9.7414e-04    9.7555e-04   -1.4478e-03   -9.9646e-03
  147.0    9.8010e-04    9.7555e-04    4.6644e-03   -1.3753e-02
  150.0    9.7892e-04    9.7555e-04    3.4491e-03   -1.0269e-02
  153.0    9.7752e-04    9.7555e-04    2.0127e-03   -5.6565e-02
  156.0    9.7055e-04    9.7555e-04   -5.1287e-03   -5.7653e-02
  159.0    9.7072e-04    9.7555e-04   -4.9571e-03   -7.1992e-02
  162.0    9.7516e-04    9.7555e-04   -3.9899e-04   -3.5269e-02
  165.0    9.7022e-04    9.7555e-04   -5.4623e-03   -1.0877e-02
  168.0    9.7124e-04    9.7555e-04   -4.4175e-03    1.1352e-02
  171.0    9.7984e-04    9.7555e-04    4.3931e-03    5.1463e-02
  174.0    9.7945e-04    9.7555e-04    3.9974e-03    9.3086e-02
  177.0    9.7445e-04    9.7555e-04   -1.1347e-03    1.2506e-01
  180.0    9.7896e-04    9.7555e-04    3.4899e-03    1.0631e-01
  183.0    9.8288e-04    9.7555e-04    7.5145e-03    7.5735e-02
  186.0    9.7623e-04    9.7555e-04    6.8927e-04    3.6145e-02
  189.0    9.7320e-04    9.7555e-04   -2.4151e-03    2.6449e-02
  192.0    9.7648e-04    9.7555e-04    9.5344e-04    1.5969e-02
  195.0    9.7360e-04    9.7555e-04   -2.0032e-03   -1.1287e-02
  198.0    9.6964e-04    9.7555e-04   -6.0630e-03   -4.4351e-02
  201.0    9.7274e-04    9.7555e-04   -2.8814e-03   -6.9664e-02
  204.0    9.7519e-04    9.7555e-04   -3.7068e-04   -6.2000e-02
