    711    12   202     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         O              Oxygen phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)
        18              lnum
   10.7000   2.6279   1.5102   0.8868   0.5505   0.3346   0.2077   0.1226   0.0579   0.0206   0.0057   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.7500   2.6219   1.5074   0.8868   0.5517   0.3363   0.2090   0.1243   0.0594   0.0215   0.0060   0.0013   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.8000   2.6159   1.5047   0.8868   0.5528   0.3380   0.2103   0.1259   0.0610   0.0223   0.0063   0.0014   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.8500   2.6099   1.5019   0.8868   0.5539   0.3397   0.2116   0.1276   0.0625   0.0232   0.0066   0.0015   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.9000   2.6040   1.4992   0.8868   0.5549   0.3414   0.2128   0.1292   0.0641   0.0241   0.0070   0.0016   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.9500   2.5980   1.4965   0.8868   0.5559   0.3431   0.2141   0.1308   0.0657   0.0251   0.0073   0.0017   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   11.0000   2.5921   1.4937   0.8868   0.5569   0.3448   0.2153   0.1323   0.0672   0.0260   0.0077   0.0018   0.0003   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.0500   2.5861   1.4910   0.8869   0.5579   0.3465   0.2165   0.1338   0.0688   0.0270   0.0081   0.0019   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.1000   2.5802   1.4883   0.8869   0.5587   0.3482   0.2178   0.1353   0.0704   0.0279   0.0085   0.0020   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.1500   2.5743   1.4856   0.8870   0.5596   0.3499   0.2190   0.1367   0.0719   0.0289   0.0089   0.0022   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.2000   2.5684   1.4828   0.8871   0.5604   0.3516   0.2202   0.1382   0.0735   0.0300   0.0094   0.0023   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.2500   2.5625   1.4801   0.8871   0.5612   0.3532   0.2214   0.1395   0.0751   0.0310   0.0098   0.0024   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.3000   2.5567   1.4775   0.8872   0.5620   0.3549   0.2226   0.1409   0.0766   0.0321   0.0103   0.0026   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.3500   2.5508   1.4748   0.8873   0.5627   0.3565   0.2238   0.1422   0.0782   0.0331   0.0108   0.0027   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.4000   2.5450   1.4721   0.8873   0.5634   0.3582   0.2250   0.1435   0.0797   0.0342   0.0113   0.0029   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.4500   2.5392   1.4695   0.8874   0.5641   0.3598   0.2263   0.1448   0.0812   0.0353   0.0118   0.0031   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.5000   2.5333   1.4669   0.8873   0.5648   0.3611   0.2274   0.1460   0.0824   0.0362   0.0122   0.0032   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.5500   2.5275   1.4642   0.8874   0.5654   0.3627   0.2287   0.1472   0.0839   0.0373   0.0127   0.0034   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.6000   2.5218   1.4617   0.8874   0.5660   0.3643   0.2299   0.1484   0.0854   0.0385   0.0132   0.0036   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.6500   2.5160   1.4591   0.8875   0.5666   0.3658   0.2311   0.1496   0.0869   0.0396   0.0138   0.0038   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000
   11.7000   2.5103   1.4565   0.8875   0.5672   0.3673   0.2324   0.1507   0.0884   0.0408   0.0144   0.0040   0.0009   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
   11.7500   2.5046   1.4540   0.8876   0.5678   0.3688   0.2336   0.1518   0.0898   0.0420   0.0150   0.0042   0.0009   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
   11.8000   2.4989   1.4515   0.8876   0.5683   0.3703   0.2349   0.1529   0.0912   0.0432   0.0156   0.0044   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
   11.8500   2.4933   1.4490   0.8876   0.5689   0.3717   0.2361   0.1540   0.0927   0.0444   0.0163   0.0047   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
   11.9000   2.4876   1.4466   0.8876   0.5694   0.3732   0.2374   0.1551   0.0940   0.0456   0.0169   0.0049   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
   11.9500   2.4820   1.4441   0.8876   0.5699   0.3745   0.2387   0.1561   0.0954   0.0468   0.0176   0.0052   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000
   12.0000   2.4764   1.4417   0.8876   0.5705   0.3759   0.2400   0.1572   0.0968   0.0480   0.0183   0.0054   0.0013   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000
