    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Fe 2p           Silver radial matrix data

        binding energy =  685.175 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
      11.5000    0.33592E-01      2.6995    0.83369E-02     -0.3478
      11.5500    0.33436E-01      2.6967    0.83059E-02     -0.3572
      11.6000    0.33281E-01      2.6939    0.82749E-02     -0.3666
      11.6500    0.33126E-01      2.6911    0.82438E-02     -0.3759
      11.7000    0.32971E-01      2.6883    0.82127E-02     -0.3853
      11.7500    0.32816E-01      2.6855    0.81817E-02     -0.3946
      11.8000    0.32662E-01      2.6826    0.81506E-02     -0.4039
      11.8500    0.32507E-01      2.6798    0.81195E-02     -0.4131
      11.9000    0.32354E-01      2.6770    0.80885E-02     -0.4223
      11.9500    0.32200E-01      2.6741    0.80575E-02     -0.4315
      12.0000    0.32048E-01      2.6713    0.80265E-02     -0.4407
      12.0500    0.31895E-01      2.6684    0.79956E-02     -0.4498
      12.1000    0.31743E-01      2.6656    0.79647E-02     -0.4590
      12.1500    0.31592E-01      2.6627    0.79339E-02     -0.4680
      12.2000    0.31441E-01      2.6599    0.79032E-02     -0.4771
      12.2500    0.31291E-01      2.6571    0.78726E-02     -0.4861
      12.3000    0.31141E-01      2.6542    0.78420E-02     -0.4951
      12.3500    0.30992E-01      2.6514    0.78116E-02     -0.5041
      12.4000    0.30844E-01      2.6486    0.77811E-02     -0.5130
      12.4500    0.30696E-01      2.6458    0.77509E-02     -0.5219
      12.5000    0.30549E-01      2.6430    0.77207E-02     -0.5307
      12.5500    0.30402E-01      2.6402    0.76905E-02     -0.5396
      12.6000    0.30256E-01      2.6375    0.76605E-02     -0.5483
      12.6500    0.30110E-01      2.6347    0.76305E-02     -0.5571
      12.7000    0.29964E-01      2.6320    0.76006E-02     -0.5658
      12.7500    0.29819E-01      2.6293    0.75708E-02     -0.5745
      12.8000    0.29675E-01      2.6266    0.75411E-02     -0.5831
      12.8500    0.29530E-01      2.6239    0.75114E-02     -0.5917
      12.9000    0.29387E-01      2.6212    0.74818E-02     -0.6003
      12.9500    0.29243E-01      2.6185    0.74523E-02     -0.6088
      13.0000    0.29100E-01      2.6159    0.74228E-02     -0.6173
      13.0500    0.28957E-01      2.6133    0.73933E-02     -0.6257
      13.1000    0.28814E-01      2.6106    0.73639E-02     -0.6341
      13.1500    0.28671E-01      2.6080    0.73345E-02     -0.6425
      13.2000    0.28529E-01      2.6054    0.73052E-02     -0.6508
      13.2500    0.28386E-01      2.6029    0.72759E-02     -0.6591
      13.3000    0.28244E-01      2.6003    0.72466E-02     -0.6674
      13.3500    0.28100E-01      2.5974    0.72162E-02     -0.6758
      13.4000    0.27959E-01      2.5949    0.71871E-02     -0.6840
      13.4500    0.27817E-01      2.5923    0.71579E-02     -0.6922
      13.5000    0.27676E-01      2.5898    0.71287E-02     -0.7003
      13.5500    0.27536E-01      2.5872    0.70996E-02     -0.7084
      13.6000    0.27395E-01      2.5847    0.70705E-02     -0.7164
      13.6500    0.27255E-01      2.5822    0.70414E-02     -0.7245
      13.7000    0.27114E-01      2.5797    0.70123E-02     -0.7325
      13.7500    0.26975E-01      2.5772    0.69832E-02     -0.7404
      13.8000    0.26835E-01      2.5747    0.69541E-02     -0.7483
      13.8500    0.26695E-01      2.5722    0.69251E-02     -0.7562
      13.9000    0.26556E-01      2.5697    0.68960E-02     -0.7641
      13.9500    0.26417E-01      2.5671    0.68670E-02     -0.7719
      14.0000    0.26279E-01      2.5646    0.68379E-02     -0.7798
      14.0500    0.26140E-01      2.5621    0.68089E-02     -0.7876
      14.1000    0.26002E-01      2.5596    0.67799E-02     -0.7953
      14.1500    0.25865E-01      2.5571    0.67510E-02     -0.8031
      14.2000    0.25728E-01      2.5546    0.67220E-02     -0.8108
      14.2500    0.25592E-01      2.5521    0.66931E-02     -0.8185
      14.3000    0.25456E-01      2.5495    0.66643E-02     -0.8262
      14.3500    0.25320E-01      2.5470    0.66354E-02     -0.8338
      14.4000    0.25186E-01      2.5445    0.66067E-02     -0.8415
      14.4500    0.25051E-01      2.5419    0.65780E-02     -0.8491
      14.5000    0.24918E-01      2.5394    0.65493E-02     -0.8567
      14.5500    0.24785E-01      2.5369    0.65208E-02     -0.8643
      14.6000    0.24653E-01      2.5343    0.64923E-02     -0.8718
      14.6500    0.24521E-01      2.5318    0.64639E-02     -0.8794
      14.7000    0.24390E-01      2.5292    0.64356E-02     -0.8869
      14.7500    0.24260E-01      2.5267    0.64074E-02     -0.8944
      14.8000    0.24131E-01      2.5242    0.63793E-02     -0.9019
      14.8500    0.24002E-01      2.5217    0.63513E-02     -0.9093
      14.9000    0.23874E-01      2.5191    0.63234E-02     -0.9168
      14.9500    0.23747E-01      2.5166    0.62956E-02     -0.9242
      15.0000    0.23620E-01      2.5141    0.62679E-02     -0.9316
      15.0500    0.23494E-01      2.5116    0.62404E-02     -0.9390
      15.1000    0.23369E-01      2.5091    0.62129E-02     -0.9464
      15.1500    0.23245E-01      2.5067    0.61856E-02     -0.9537
      15.2000    0.23121E-01      2.5042    0.61585E-02     -0.9610
      15.2500    0.22997E-01      2.5017    0.61314E-02     -0.9683
      15.3000    0.22875E-01      2.4993    0.61045E-02     -0.9756
      15.3500    0.22753E-01      2.4969    0.60777E-02     -0.9829
      15.4000    0.22631E-01      2.4944    0.60510E-02     -0.9901
      15.4500    0.22510E-01      2.4920    0.60244E-02     -0.9973
      15.5000    0.22390E-01      2.4896    0.59979E-02     -1.0045
      15.5500    0.22270E-01      2.4873    0.59716E-02     -1.0116
      15.6000    0.22151E-01      2.4849    0.59454E-02     -1.0187
      15.6500    0.22032E-01      2.4825    0.59193E-02     -1.0258
      15.7000    0.21913E-01      2.4802    0.58933E-02     -1.0329
      15.7500    0.21795E-01      2.4778    0.58674E-02     -1.0399
      15.8000    0.21678E-01      2.4755    0.58416E-02     -1.0469
      15.8500    0.21561E-01      2.4732    0.58158E-02     -1.0539
      15.9000    0.21444E-01      2.4709    0.57902E-02     -1.0608
      15.9500    0.21327E-01      2.4686    0.57647E-02     -1.0678
      16.0000    0.21212E-01      2.4663    0.57392E-02     -1.0747
      16.0500    0.21096E-01      2.4640    0.57138E-02     -1.0815
      16.1000    0.20981E-01      2.4618    0.56885E-02     -1.0884
      16.1500    0.20866E-01      2.4595    0.56633E-02     -1.0952
