    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)
         9              lnum
   12.9000  -0.6442  -2.2853   2.5127   1.5493   0.9210   0.6025   0.2503   0.0650   0.0128
   12.9500  -0.6530  -2.2922   2.5107   1.5523   0.9218   0.6067   0.2562   0.0674   0.0134
   13.0000  -0.6618  -2.2990   2.5088   1.5552   0.9226   0.6107   0.2622   0.0698   0.0140
   13.0500  -0.6705  -2.3057   2.5070   1.5580   0.9234   0.6146   0.2681   0.0723   0.0147
   13.1000  -0.6791  -2.3123   2.5053   1.5607   0.9243   0.6183   0.2741   0.0749   0.0154
   13.1500  -0.6876  -2.3188   2.5036   1.5633   0.9253   0.6219   0.2801   0.0775   0.0160
   13.2000  -0.6961  -2.3253   2.5021   1.5658   0.9262   0.6253   0.2860   0.0802   0.0168
   13.2500  -0.7046  -2.3317   2.5006   1.5681   0.9273   0.6286   0.2920   0.0830   0.0175
   13.3000  -0.7129  -2.3380   2.4991   1.5704   0.9284   0.6317   0.2980   0.0858   0.0183
   13.3500  -0.7212  -2.3442   2.4978   1.5725   0.9295   0.6347   0.3040   0.0887   0.0191
   13.4000  -0.7294  -2.3504   2.4965   1.5745   0.9307   0.6375   0.3099   0.0917   0.0199
   13.4500  -0.7375  -2.3565   2.4952   1.5764   0.9320   0.6403   0.3159   0.0947   0.0208
   13.5000  -0.7456  -2.3625   2.4940   1.5782   0.9333   0.6428   0.3218   0.0978   0.0217
   13.5500  -0.7535  -2.3684   2.4929   1.5798   0.9347   0.6453   0.3277   0.1009   0.0226
   13.6000  -0.7615  -2.3743   2.4919   1.5814   0.9361   0.6476   0.3335   0.1042   0.0236
   13.6500  -0.7693  -2.3801   2.4908   1.5828   0.9376   0.6499   0.3393   0.1074   0.0245
   13.7000  -0.7771  -2.3858   2.4899   1.5841   0.9392   0.6520   0.3451   0.1108   0.0256
   13.7500  -0.7848  -2.3914   2.4890   1.5853   0.9409   0.6539   0.3508   0.1142   0.0266
   13.8000  -0.7924  -2.3970   2.4881   1.5864   0.9426   0.6558   0.3565   0.1177   0.0277
   13.8500  -0.7999  -2.4025   2.4872   1.5873   0.9444   0.6576   0.3621   0.1212   0.0288
   13.9000  -0.8074  -2.4079   2.4864   1.5882   0.9463   0.6593   0.3676   0.1248   0.0300
   13.9500  -0.8148  -2.4132   2.4856   1.5889   0.9483   0.6609   0.3731   0.1285   0.0312
   14.0000  -0.8222  -2.4185   2.4849   1.5896   0.9503   0.6623   0.3785   0.1322   0.0324
   14.0500  -0.8294  -2.4237   2.4841   1.5901   0.9524   0.6637   0.3839   0.1360   0.0337
   14.1000  -0.8366  -2.4288   2.4834   1.5905   0.9546   0.6651   0.3891   0.1398   0.0350
   14.1500  -0.8438  -2.4339   2.4827   1.5909   0.9568   0.6663   0.3943   0.1437   0.0364
   14.2000  -0.8508  -2.4389   2.4820   1.5911   0.9591   0.6675   0.3994   0.1476   0.0377
   14.2500  -0.8578  -2.4438   2.4813   1.5912   0.9615   0.6685   0.4044   0.1516   0.0392
   14.3000  -0.8648  -2.4487   2.4806   1.5913   0.9639   0.6696   0.4093   0.1557   0.0406
   14.3500  -0.8716  -2.4535   2.4799   1.5913   0.9664   0.6705   0.4141   0.1598   0.0422
   14.4000  -0.8784  -2.4583   2.4793   1.5912   0.9690   0.6714   0.4189   0.1639   0.0437
   14.4500  -0.8852  -2.4630   2.4786   1.5910   0.9717   0.6723   0.4235   0.1681   0.0453
   14.5000  -0.8919  -2.4676   2.4778   1.5907   0.9743   0.6731   0.4280   0.1723   0.0470
   14.5500  -0.8985  -2.4722   2.4771   1.5904   0.9771   0.6739   0.4325   0.1766   0.0487
   14.6000  -0.9051  -2.4768   2.4764   1.5900   0.9799   0.6746   0.4368   0.1809   0.0504
   14.6500  -0.9116  -2.4813   2.4756   1.5895   0.9827   0.6752   0.4410   0.1853   0.0522
   14.7000  -0.9180  -2.4857   2.4748   1.5889   0.9856   0.6759   0.4452   0.1897   0.0540
   14.7500  -0.9245  -2.4901   2.4739   1.5884   0.9886   0.6765   0.4492   0.1941   0.0559
   14.8000  -0.9308  -2.4945   2.4731   1.5877   0.9916   0.6771   0.4531   0.1985   0.0578
   14.8500  -0.9371  -2.4988   2.4722   1.5870   0.9946   0.6777   0.4569   0.2030   0.0598
   14.9000  -0.9434  -2.5031   2.4713   1.5863   0.9976   0.6782   0.4606   0.2075   0.0618
   14.9500  -0.9496  -2.5073   2.4703   1.5855   1.0007   0.6788   0.4641   0.2120   0.0638
   15.0000  -0.9557  -2.5116   2.4693   1.5847   1.0038   0.6793   0.4676   0.2165   0.0659
   15.0500  -0.9619  -2.5158   2.4682   1.5839   1.0069   0.6798   0.4710   0.2211   0.0681
   15.1000  -0.9680  -2.5199   2.4671   1.5830   1.0101   0.6803   0.4742   0.2256   0.0703
   15.1500  -0.9740  -2.5241   2.4659   1.5821   1.0132   0.6808   0.4774   0.2302   0.0726
   15.2000  -0.9800  -2.5282   2.4647   1.5811   1.0164   0.6814   0.4804   0.2348   0.0749
   15.2500  -0.9860  -2.5323   2.4635   1.5802   1.0195   0.6819   0.4833   0.2394   0.0772
   15.3000  -0.9919  -2.5364   2.4622   1.5792   1.0227   0.6824   0.4862   0.2439   0.0796
   15.3500  -0.9978  -2.5405   2.4608   1.5783   1.0258   0.6830   0.4889   0.2485   0.0821
   15.4000  -1.0037  -2.5445   2.4594   1.5773   1.0289   0.6836   0.4915   0.2531   0.0846
   15.4500  -1.0096  -2.5486   2.4579   1.5763   1.0321   0.6841   0.4940   0.2576   0.0871
   15.5000  -1.0154  -2.5526   2.4564   1.5753   1.0351   0.6848   0.4964   0.2621   0.0897
   15.5500  -1.0212  -2.5567   2.4548   1.5744   1.0382   0.6854   0.4987   0.2667   0.0924
   15.6000  -1.0270  -2.5607   2.4531   1.5734   1.0413   0.6861   0.5009   0.2711   0.0951
   15.6500  -1.0328  -2.5648   2.4514   1.5724   1.0443   0.6868   0.5031   0.2756   0.0978
   15.7000  -1.0385  -2.5688   2.4497   1.5715   1.0472   0.6875   0.5051   0.2801   0.1006
   15.7500  -1.0443  -2.5729   2.4478   1.5706   1.0502   0.6883   0.5070   0.2845   0.1034
   15.8000  -1.0500  -2.5769   2.4460   1.5696   1.0531   0.6891   0.5089   0.2889   0.1063
   15.8500  -1.0557  -2.5810   2.4440   1.5688   1.0559   0.6899   0.5106   0.2932   0.1092
   15.9000  -1.0614  -2.5850   2.4420   1.5679   1.0587   0.6908   0.5123   0.2975   0.1122
   15.9500  -1.0671  -2.5891   2.4400   1.5671   1.0614   0.6917   0.5139   0.3018   0.1152
   16.0000  -1.0728  -2.5932   2.4379   1.5662   1.0641   0.6927   0.5154   0.3060   0.1183
   16.0500  -1.0785  -2.5974   2.4357   1.5655   1.0667   0.6937   0.5168   0.3102   0.1214
   16.1000  -1.0842  -2.6015   2.4335   1.5647   1.0692   0.6948   0.5182   0.3143   0.1245
   16.1500  -1.0899  -2.6056   2.4313   1.5640   1.0717   0.6959   0.5195   0.3183   0.1277
   16.2000  -1.0956  -2.6098   2.4289   1.5634   1.0741   0.6971   0.5207   0.3223   0.1309
   16.2500  -1.1013  -2.6140   2.4266   1.5627   1.0765   0.6983   0.5218   0.3263   0.1342
   16.3000  -1.1070  -2.6182   2.4242   1.5622   1.0787   0.6996   0.5229   0.3302   0.1375
   16.3500  -1.1127  -2.6225   2.4217   1.5616   1.0809   0.7009   0.5239   0.3340   0.1408
   16.4000  -1.1185  -2.6267   2.4192   1.5612   1.0831   0.7023   0.5249   0.3378   0.1441
   16.4500  -1.1242  -2.6310   2.4167   1.5607   1.0851   0.7038   0.5258   0.3415   0.1475
   16.5000  -1.1299  -2.6353   2.4141   1.5603   1.0871   0.7053   0.5266   0.3451   0.1510
   16.5500  -1.1357  -2.6397   2.4115   1.5600   1.0889   0.7068   0.5274   0.3487   0.1544
   16.6000  -1.1414  -2.6440   2.4089   1.5597   1.0907   0.7084   0.5282   0.3522   0.1579
   16.6500  -1.1472  -2.6484   2.4062   1.5595   1.0925   0.7101   0.5289   0.3556   0.1614
   16.7000  -1.1530  -2.6529   2.4035   1.5593   1.0941   0.7118   0.5295   0.3589   0.1649
   16.7500  -1.1588  -2.6573   2.4007   1.5591   1.0957   0.7136   0.5302   0.3622   0.1685
   16.8000  -1.1646  -2.6618   2.3979   1.5591   1.0971   0.7154   0.5308   0.3654   0.1720
   16.8500  -1.1705  -2.6663   2.3952   1.5590   1.0985   0.7173   0.5313   0.3685   0.1756
   16.9000  -1.1763  -2.6709   2.3923   1.5591   1.0998   0.7192   0.5318   0.3716   0.1792
   16.9500  -1.1822  -2.6754   2.3895   1.5591   1.1011   0.7212   0.5323   0.3745   0.1828
   17.0000  -1.1881  -2.6800   2.3866   1.5593   1.1022   0.7232   0.5328   0.3774   0.1864
   17.0500  -1.1940  -2.6847   2.3838   1.5594   1.1033   0.7253   0.5333   0.3802   0.1901
   17.1000  -1.1999  -2.6893   2.3809   1.5597   1.1043   0.7274   0.5337   0.3830   0.1937
   17.1500  -1.2059  -2.6940   2.3780   1.5600   1.1053   0.7296   0.5341   0.3856   0.1974
   17.2000  -1.2119  -2.6987   2.3751   1.5603   1.1061   0.7318   0.5345   0.3882   0.2010
   17.2500  -1.2179  -2.7034   2.3722   1.5607   1.1069   0.7341   0.5349   0.3907   0.2047
   17.3000  -1.2239  -2.7082   2.3693   1.5611   1.1076   0.7363   0.5353   0.3931   0.2083
   17.3500  -1.2299  -2.7130   2.3664   1.5616   1.1083   0.7387   0.5357   0.3954   0.2120
   17.4000  -1.2359  -2.7178   2.3635   1.5621   1.1088   0.7410   0.5361   0.3976   0.2156
   17.4500  -1.2420  -2.7226   2.3605   1.5626   1.1094   0.7434   0.5364   0.3998   0.2192
   17.5000  -1.2481  -2.7275   2.3576   1.5632   1.1098   0.7458   0.5368   0.4019   0.2228
   17.5500  -1.2542  -2.7324   2.3548   1.5639   1.1102   0.7482   0.5372   0.4039   0.2264
   17.6000  -1.2603  -2.7373   2.3519   1.5645   1.1105   0.7507   0.5376   0.4059   0.2300
